CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,SRAID,Region,SES,District,Total_FemaleRate,AA_TotalFemaleRate,Age45Plus_FemaleRate,Age65Plus_FemaleRate,White_Total_FemaleRate,Hispanic_Total_FemaleRate,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_FemaleRate
Female Breast Cancer,Death,2015,Vista,SRA,VISTA,52,NORTH COASTAL,Low Income,Supervisorial District 5,19.4,18.31,52.14,83.23,20.43,,,
Female Breast Cancer,Death,2015,Escondido,SRA,ESCONDIDO,50,NORTH INLAND,Low Income,Supervisorial District 3,19.96,17.11,50.94,78.18,34.69,,,
Female Breast Cancer,Death,2015,Fallbrook,SRA,FALLBROOK,55,NORTH INLAND,Low Income,Supervisorial District 5,26.04,22.61,49.68,,,,,
Female Breast Cancer,Death,2015,North San Diego,SRA,NORTH SAN DIEGO,14,NORTH INLAND,Highest Income,Supervisorial District 3,20.63,16.68,47.98,80.26,32.46,,,
Female Breast Cancer,Death,2015,Palomar-Julian,SRA,PALOMAR-JULIAN,60,NORTH INLAND,Lowest Income,Supervisorial District 5,,,,,,,,
Female Breast Cancer,Death,2015,Pauma,SRA,PAUMA,54,NORTH INLAND,Moderately High Income,Supervisorial District 5,,,,,,,,
Female Breast Cancer,Death,2015,Poway,SRA,POWAY,15,NORTH INLAND,Highest Income,Supervisorial District 2,29.78,21.55,63.08,102,35.5,,,
Female Breast Cancer,Death,2015,Ramona,SRA,RAMONA,39,NORTH INLAND,Moderately High Income,Supervisorial District 2,,,,,,,,
Female Breast Cancer,Death,2015,San Marcos,SRA,SAN MARCOS,51,NORTH INLAND,Low Income,Supervisorial District 5,26.66,24.73,66.05,128.32,47.82,,,
Female Breast Cancer,Death,2015,Valley Center,SRA,VALLEY CENTER,53,NORTH INLAND,Moderately High Income,Supervisorial District 5,,,,,,,,
Female Breast Cancer,Death,2015,Chula Vista,SRA,CHULA VISTA,21,SOUTH,Lowest Income,Supervisorial District 1,16.44,14.33,42.35,,,,,
Female Breast Cancer,Death,2015,Coronado,SRA,CORONADO,3,SOUTH,Highest Income,Supervisorial District 1,,,,,,,,
Female Breast Cancer,Death,2015,National City,SRA,NATIONAL CITY,4,SOUTH,Lowest Income,Supervisorial District 1,26.78,25.14,73.32,145.04,,27.39,,84.85
Female Breast Cancer,Death,2015,South Bay,SRA,SOUTH BAY,22,SOUTH,Low Income,Supervisorial District 1,11.8,11.65,28.95,,,,,
Female Breast Cancer,Death,2015,Sweetwater,SRA,SWEETWATER,20,SOUTH,High Income,Supervisorial District 1,14.35,15.46,37.85,83.55,,,,
